absolute_error,batch,decision,estimate,experiment_name,interpretation,interval_lower,interval_upper,sample_size,seed,standard_error,threshold,true_probability
0.05,34,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52060,0.070654,0.6,0.57
0.07,35,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52061,0.070711,0.6,0.57
0.07,36,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52062,0.070711,0.6,0.57
0.07,37,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52063,0.070711,0.6,0.57
0.01,38,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52064,0.0698,0.6,0.57
0.03,39,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52065,0.070484,0.6,0.57
0.01,40,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52066,0.0698,0.6,0.57
0.01,41,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52067,0.0702,0.6,0.57
0.03,42,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52068,0.070484,0.6,0.57
0.09,43,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52069,0.066993,0.6,0.57
0.07,44,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52070,0.070711,0.6,0.57
0.07,45,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52071,0.070711,0.6,0.57
0.11,46,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52072,0.070484,0.6,0.57
0.05,47,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52073,0.068644,0.6,0.57
0.07,48,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52074,0.070711,0.6,0.57
0.11,49,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.550699,0.809301,50,52075,0.06597,0.6,0.57
0.07,50,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52076,0.067882,0.6,0.57
0.11,51,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52077,0.070484,0.6,0.57
0.01,52,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52078,0.0698,0.6,0.57
0.05,53,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52079,0.068644,0.6,0.57
0.05,54,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52080,0.068644,0.6,0.57
0.09,55,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52081,0.070654,0.6,0.57
0.01,56,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52082,0.0698,0.6,0.57
0.11,57,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.550699,0.809301,50,52083,0.06597,0.6,0.57
0.03,58,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52084,0.070484,0.6,0.57
0.01,59,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52085,0.0702,0.6,0.57
0.05,60,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52086,0.068644,0.6,0.57
0.05,61,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52087,0.068644,0.6,0.57
0.09,62,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52088,0.066993,0.6,0.57
0.25,63,0,0.32,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.190699,0.449301,50,52089,0.06597,0.6,0.57
0.07,64,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52090,0.070711,0.6,0.57
0.03,65,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52091,0.069282,0.6,0.57
0.03,66,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52092,0.069282,0.6,0.57
0.07,67,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52093,0.070711,0.6,0.57
0.09,68,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52094,0.070654,0.6,0.57
0.01,69,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52095,0.0698,0.6,0.57
0.11,70,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.550699,0.809301,50,52096,0.06597,0.6,0.57
0.09,71,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52097,0.066993,0.6,0.57
0.07,72,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52098,0.070711,0.6,0.57
0.03,73,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52099,0.070484,0.6,0.57
0.01,74,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52100,0.0702,0.6,0.57
0.13,75,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.302409,0.577591,50,52101,0.0702,0.6,0.57
0.19,76,0,0.38,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245458,0.514542,50,52102,0.068644,0.6,0.57
0.01,77,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52103,0.0702,0.6,0.57
0.07,78,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52104,0.067882,0.6,0.57
0.05,79,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52105,0.068644,0.6,0.57
0.05,80,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52106,0.070654,0.6,0.57
0.03,81,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52107,0.069282,0.6,0.57
0.11,82,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52108,0.070484,0.6,0.57
0.01,83,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52109,0.0702,0.6,0.57
0.17,84,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.264207,0.535793,50,52110,0.069282,0.6,0.57
0.07,85,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52111,0.070711,0.6,0.57
0.09,86,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52112,0.066993,0.6,0.57
0.15,87,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.595544,0.844456,50,52113,0.063498,0.6,0.57
0.01,88,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52114,0.0698,0.6,0.57
0.03,89,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52115,0.070484,0.6,0.57
0.09,90,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52116,0.070654,0.6,0.57
0.01,91,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52117,0.0702,0.6,0.57
0.07,92,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52118,0.067882,0.6,0.57
0.01,93,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52119,0.0698,0.6,0.57
0.09,94,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52120,0.070654,0.6,0.57
0.05,95,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52121,0.070654,0.6,0.57
0.01,96,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52122,0.0698,0.6,0.57
0.07,97,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52123,0.067882,0.6,0.57
0.07,98,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52124,0.067882,0.6,0.57
0.03,99,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52125,0.069282,0.6,0.57
0.03,100,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52126,0.069282,0.6,0.57
0.03,101,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52127,0.069282,0.6,0.57
0.01,102,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52128,0.0702,0.6,0.57
0.05,103,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52129,0.070654,0.6,0.57
0.13,104,1,0.7,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.572977,0.827023,50,52130,0.064807,0.6,0.57
0.07,105,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52131,0.067882,0.6,0.57
0.03,106,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52132,0.070484,0.6,0.57
0.03,107,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52133,0.070484,0.6,0.57
0.03,108,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52134,0.070484,0.6,0.57
0.09,109,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52135,0.070654,0.6,0.57
0.03,110,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52136,0.070484,0.6,0.57
0.01,111,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52137,0.0698,0.6,0.57
0.01,112,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52138,0.0702,0.6,0.57
0.15,113,0,0.42,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.283193,0.556807,50,52139,0.0698,0.6,0.57
0.13,114,1,0.7,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.572977,0.827023,50,52140,0.064807,0.6,0.57
0.05,115,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52141,0.070654,0.6,0.57
0.05,116,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52142,0.068644,0.6,0.57
0.09,117,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52143,0.070654,0.6,0.57
0.01,118,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52144,0.0698,0.6,0.57
0.09,119,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52145,0.070654,0.6,0.57
0.03,120,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52146,0.069282,0.6,0.57
0.15,121,0,0.42,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.283193,0.556807,50,52147,0.0698,0.6,0.57
0.05,122,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52148,0.070654,0.6,0.57
0.05,123,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52149,0.068644,0.6,0.57
0.09,124,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52150,0.066993,0.6,0.57
0.07,125,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52151,0.070711,0.6,0.57
0.07,126,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52152,0.070711,0.6,0.57
0.25,127,0,0.32,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.190699,0.449301,50,52153,0.06597,0.6,0.57
0.17,128,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.264207,0.535793,50,52154,0.069282,0.6,0.57
0.01,129,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52155,0.0702,0.6,0.57
0.09,130,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52156,0.070654,0.6,0.57
0.11,131,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52157,0.070484,0.6,0.57
0.13,132,1,0.7,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.572977,0.827023,50,52158,0.064807,0.6,0.57
0.13,133,1,0.7,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.572977,0.827023,50,52159,0.064807,0.6,0.57
0.01,134,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52160,0.0698,0.6,0.57
0.11,135,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52161,0.070484,0.6,0.57
0.05,136,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52162,0.070654,0.6,0.57
0.01,137,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52163,0.0702,0.6,0.57
0.13,138,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.302409,0.577591,50,52164,0.0702,0.6,0.57
0.03,139,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52165,0.069282,0.6,0.57
0.07,140,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52166,0.070711,0.6,0.57
0.01,141,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52167,0.0698,0.6,0.57
0.09,142,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52168,0.066993,0.6,0.57
0.01,143,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52169,0.0702,0.6,0.57
0.01,144,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52170,0.0702,0.6,0.57
0.09,145,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52171,0.066993,0.6,0.57
0.01,146,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52172,0.0698,0.6,0.57
0.07,147,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52173,0.070711,0.6,0.57
0.09,148,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.341518,0.618482,50,52174,0.070654,0.6,0.57
0.07,149,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52175,0.070711,0.6,0.57
0.05,150,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52176,0.070654,0.6,0.57
0.07,151,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52177,0.067882,0.6,0.57
0.01,152,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52178,0.0698,0.6,0.57
0.01,153,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52179,0.0698,0.6,0.57
0.11,154,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.550699,0.809301,50,52180,0.06597,0.6,0.57
0.07,155,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52181,0.070711,0.6,0.57
0.05,156,1,0.62,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.485458,0.754542,50,52182,0.068644,0.6,0.57
0.11,157,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52183,0.070484,0.6,0.57
0.01,158,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52184,0.0702,0.6,0.57
0.05,159,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52185,0.070654,0.6,0.57
0.03,160,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52186,0.069282,0.6,0.57
0.01,161,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52187,0.0698,0.6,0.57
0.07,162,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52188,0.067882,0.6,0.57
0.01,163,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52189,0.0698,0.6,0.57
0.13,164,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.302409,0.577591,50,52190,0.0702,0.6,0.57
0.11,165,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.550699,0.809301,50,52191,0.06597,0.6,0.57
0.13,166,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.302409,0.577591,50,52192,0.0702,0.6,0.57
0.07,167,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52193,0.067882,0.6,0.57
0.01,168,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52194,0.0702,0.6,0.57
0.11,169,0,0.46,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.321851,0.598149,50,52195,0.070484,0.6,0.57
0.01,170,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.422409,0.697591,50,52196,0.0702,0.6,0.57
0.03,171,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52197,0.069282,0.6,0.57
0.03,172,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.464207,0.735793,50,52198,0.069282,0.6,0.57
0.05,173,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52199,0.070654,0.6,0.57
0.05,174,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52200,0.070654,0.6,0.57
0.07,175,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52201,0.067882,0.6,0.57
0.15,176,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.595544,0.844456,50,52202,0.063498,0.6,0.57
0.01,177,0,0.58,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.443193,0.716807,50,52203,0.0698,0.6,0.57
0.07,178,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.506951,0.773049,50,52204,0.067882,0.6,0.57
0.07,179,0,0.5,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.361407,0.638593,50,52205,0.070711,0.6,0.57
0.03,180,0,0.54,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.401851,0.678149,50,52206,0.070484,0.6,0.57
0.05,181,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.381518,0.658482,50,52207,0.070654,0.6,0.57
0.09,182,1,0.66,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.528695,0.791305,50,52208,0.066993,0.6,0.57
