baseline_capacity,institutional_access,interpretation,observed_outcome,potential_outcome_control,potential_outcome_treated,prior_risk,treatment,treatment_probability,true_effect,unit_id
0.758905,0.782628,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.503897,0.323897,0.503897,0.414024,1,0.548414,0.18,188
0.425274,0.896677,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.865988,0.685988,0.865988,0.829398,1,0.776392,0.18,189
0.344735,0.700595,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.837612,0.657612,0.837612,0.831679,1,0.754122,0.18,190
0.576069,0.428382,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.430444,0.430444,0.610444,0.421278,0,0.499551,0.18,191
0.223251,0.433426,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.589927,0.589927,0.769927,0.559214,0,0.613659,0.18,192
0.678034,0.567,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.025152,0.025152,0.205152,0.029137,0,0.344326,0.18,193
0.535052,0.714845,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.585328,0.405328,0.585328,0.435448,1,0.575942,0.18,194
0.649125,0.594173,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.042313,0.042313,0.222313,0.101499,0,0.384138,0.18,195
0.294243,0.27554,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.511172,0.511172,0.691172,0.626252,0,0.598374,0.18,196
0.648587,0.724706,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.37488,0.19488,0.37488,0.096713,1,0.410274,0.18,197
0.692177,0.517233,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.045657,0.045657,0.225657,0.105479,0,0.363563,0.18,198
0.445862,0.594438,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.64832,0.46832,0.64832,0.485713,1,0.584618,0.18,199
0.925967,0.926437,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.663343,0.663343,0.843343,0.854818,0,0.734365,0.18,200
0.50206,0.730315,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.171701,0.171701,0.351701,0.423584,0,0.578958,0.18,201
0.717935,0.918938,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.403673,0.403673,0.583673,0.441792,0,0.596646,0.18,202
0.489236,0.640269,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.782898,0.602898,0.782898,0.997703,1,0.782205,0.18,203
0.424252,0.442775,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.418632,0.418632,0.598632,0.424611,0,0.527035,0.18,204
0.370414,0.736239,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.52275,0.52275,0.70275,0.602508,0,0.673681,0.18,205
0.485158,0.370908,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.251376,0.251376,0.431376,0.364895,0,0.474904,0.18,206
0.376493,0.577938,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.513881,0.513881,0.693881,0.577867,0,0.630511,0.18,207
0.364657,0.620054,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.692298,0.512298,0.692298,0.741639,1,0.70562,0.18,208
0.426969,0.388366,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.377517,0.197517,0.377517,0.034053,1,0.344037,0.18,209
0.729589,0.239934,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.147628,0.147628,0.327628,0.207932,0,0.343545,0.18,210
0.415399,0.197436,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.550483,0.370483,0.550483,0.357822,1,0.443377,0.18,211
0.301745,0.681918,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.774195,0.594195,0.774195,0.917593,1,0.783189,0.18,212
0.227808,0.608759,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.748458,0.568458,0.748458,0.921103,1,0.780603,0.18,213
0.656284,0.735821,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.385183,0.385183,0.565183,0.376337,0,0.536404,0.18,214
0.305528,0.555849,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.514127,0.334127,0.514127,0.430585,1,0.572486,0.18,215
0.483257,0.883219,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.623326,0.443326,0.623326,0.386345,1,0.598775,0.18,216
0.534249,0.400879,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.264356,0.264356,0.444356,0.360169,0,0.472165,0.18,217
0.598246,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.779353,0.599353,0.779353,0.793225,1,0.762938,0.18,218
0.372783,0.811898,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.56157,0.38157,0.56157,0.300032,1,0.561462,0.18,219
0.468522,0.665199,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.106724,0.106724,0.286724,0.176545,0,0.458929,0.18,220
0.657423,0.882552,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.551393,0.371393,0.551393,0.539703,1,0.639065,0.18,221
0.48053,0.477013,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.256927,0.256927,0.436927,0.108094,0,0.385934,0.18,222
0.378433,0.796028,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.800204,0.620204,0.800204,0.907833,1,0.789758,0.18,223
0.735552,0.406598,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.347198,0.167198,0.347198,0.136927,1,0.347754,0.18,224
0.795092,0.648685,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.687288,0.507288,0.687288,0.770418,1,0.666748,0.18,225
0.327848,0.615325,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.833605,0.653605,0.833605,0.930791,1,0.774257,0.18,226
0.57481,0.888477,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.706054,0.526054,0.706054,0.985104,1,0.806579,0.18,227
0.247164,0.823231,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.664046,0.664046,0.844046,0.82133,0,0.780914,0.18,228
0.265059,0.683847,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.544539,0.364539,0.544539,0.28743,1,0.543341,0.18,229
0.62365,0.974299,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.487433,0.487433,0.667433,0.523863,0,0.656026,0.18,230
0.497235,0.804791,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.761278,0.581278,0.761278,0.689725,1,0.70422,0.18,231
0.735807,0.652107,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.182001,0.182001,0.362001,0.074692,0,0.372819,0.18,232
0.685486,0.651033,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.422721,0.242721,0.422721,0.27645,1,0.468105,0.18,233
0.424903,0.664642,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.548257,0.368257,0.548257,0.543517,1,0.627514,0.18,234
0.534424,0.812472,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.690476,0.510476,0.690476,0.783974,1,0.735308,0.18,235
0.359973,0.533501,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.480583,0.480583,0.660583,0.587983,0,0.627741,0.18,236
0.429374,0.395361,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.72201,0.54201,0.72201,0.938058,1,0.728436,0.18,237
0.0,0.69185,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.859892,0.679892,0.859892,0.981414,1,0.830505,0.18,238
0.246695,0.744142,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.702889,0.702889,0.882889,0.935511,0,0.803076,0.18,239
0.800584,0.612191,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.201027,0.201027,0.381027,0.454283,0,0.522069,0.18,240
0.892813,0.938373,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.297472,0.297472,0.477472,0.207828,0,0.470768,0.18,241
0.789222,0.693122,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.248857,0.248857,0.428857,0.298642,0,0.471987,0.18,242
0.589974,0.732384,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.475756,0.475756,0.655756,0.925966,0,0.763488,0.18,243
0.635308,0.203877,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.130143,0.130143,0.310143,0.011331,0,0.273428,0.18,244
0.973179,0.620121,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.190869,0.190869,0.370869,0.318395,0,0.437162,0.18,245
0.748066,0.498972,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.614621,0.434621,0.614621,0.615553,1,0.576453,0.18,246
0.261297,0.563965,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.540949,0.360949,0.540949,0.492305,1,0.607529,0.18,247
0.693184,0.302629,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.173705,0.173705,0.353705,0.201852,0,0.358884,0.18,248
0.345257,0.452258,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.840956,0.660956,0.840956,0.797607,1,0.697532,0.18,249
0.529016,0.451841,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.350158,0.350158,0.530158,0.433385,0,0.517328,0.18,250
0.392438,0.805336,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.75988,0.57988,0.75988,0.472412,1,0.631738,0.18,251
0.38902,0.607707,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.866761,0.686761,0.866761,0.957441,1,0.775027,0.18,252
0.563255,0.801021,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.388388,0.388388,0.568388,0.207604,0,0.489165,0.18,253
0.432371,0.885827,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.52944,0.52944,0.70944,0.527521,0,0.665379,0.18,254
0.266107,0.821028,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.693328,0.513328,0.693328,0.642652,1,0.718298,0.18,255
0.383845,0.834304,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.639756,0.459756,0.639756,0.422617,1,0.61805,0.18,256
0.590852,0.559357,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.22163,0.22163,0.40163,0.375905,0,0.506385,0.18,257
0.390191,0.613681,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.877412,0.697412,0.877412,0.957562,1,0.775879,0.18,258
0.18899,0.857108,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.82601,0.64601,0.82601,0.731541,1,0.764007,0.18,259
0.635786,0.679726,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.314407,0.314407,0.494407,0.267987,0,0.478179,0.18,260
0.688265,0.540034,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.309019,0.309019,0.489019,0.225497,0,0.420424,0.18,261
0.531756,0.828679,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.755959,0.575959,0.755959,0.961178,1,0.795252,0.18,262
0.35834,0.718122,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.491782,0.311782,0.491782,0.046263,1,0.429125,0.18,263
0.131784,0.48872,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.813961,0.633961,0.813961,0.88878,1,0.761438,0.18,264
0.483572,0.544356,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.468353,0.288353,0.468353,0.119666,1,0.404964,0.18,265
0.390607,0.53003,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.501261,0.321261,0.501261,0.325641,1,0.507204,0.18,266
0.716986,0.669173,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.358515,0.358515,0.538515,0.614151,0,0.617166,0.18,267
0.308542,0.612467,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.469559,0.469559,0.649559,0.481066,0,0.606355,0.18,268
0.379895,0.745371,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.512213,0.512213,0.692213,0.741679,0,0.726695,0.18,269
0.316227,0.858669,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.795832,0.615832,0.795832,0.963184,1,0.820066,0.18,270
0.54966,0.48824,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.204613,0.204613,0.384613,0.007615,0,0.337004,0.18,271
0.552987,0.621738,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.514282,0.334282,0.514282,0.313486,1,0.498012,0.18,272
0.547135,0.737329,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.392233,0.212233,0.392233,0.017685,1,0.393446,0.18,273
0.510398,0.431405,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.563664,0.383664,0.563664,0.492751,1,0.542144,0.18,274
0.950968,0.401759,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.122172,0.122172,0.302172,0.199425,0,0.342982,0.18,275
0.306635,0.313984,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.314757,0.314757,0.494757,0.096378,0,0.371003,0.18,276
0.540649,0.729047,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.780378,0.600378,0.780378,0.898113,1,0.759211,0.18,277
0.547935,0.679291,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.584031,0.404031,0.584031,0.511711,1,0.599572,0.18,278
0.483749,0.728752,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.689371,0.509371,0.689371,0.629869,1,0.668053,0.18,279
0.529926,0.755614,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.260625,0.260625,0.440625,0.086449,0,0.429891,0.18,280
0.310434,0.259982,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.545904,0.365904,0.545904,0.178286,1,0.393801,0.18,281
0.496418,0.558545,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.080368,0.080368,0.260368,0.042251,0,0.373061,0.18,282
0.447354,0.730896,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.638778,0.458778,0.638778,0.862272,1,0.757952,0.18,283
0.408607,0.698167,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.438721,0.438721,0.618721,0.584573,0,0.653717,0.18,284
0.511707,0.650801,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.360516,0.360516,0.540516,0.067542,0,0.401378,0.18,285
0.536644,0.25976,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.674671,0.494671,0.674671,0.684274,1,0.585038,0.18,286
0.623243,0.925859,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.428402,0.428402,0.608402,0.87441,0,0.77439,0.18,287
0.598411,0.563284,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.714754,0.534754,0.714754,0.985131,1,0.754201,0.18,288
0.869314,0.611256,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.277848,0.097848,0.277848,0.34081,1,0.460582,0.18,289
0.641346,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.605034,0.605034,0.785034,0.81579,0,0.765597,0.18,290
0.523217,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.666163,0.486163,0.666163,0.518208,1,0.672353,0.18,291
0.581864,0.786904,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.326653,0.326653,0.506653,0.091102,0,0.431208,0.18,292
0.378585,0.676313,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.75384,0.57384,0.75384,0.683649,1,0.692556,0.18,293
0.543726,0.376395,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.428635,0.248635,0.428635,0.406705,1,0.486151,0.18,294
0.373185,0.422457,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.349616,0.349616,0.529616,0.024856,0,0.354582,0.18,295
0.640481,0.755898,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.760413,0.580413,0.760413,0.715043,1,0.686347,0.18,296
0.470572,0.586896,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.464942,0.284942,0.464942,0.154759,1,0.43154,0.18,297
0.505168,0.993699,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.710576,0.530576,0.710576,0.978021,1,0.825154,0.18,298
0.493481,0.785816,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.683634,0.683634,0.863634,0.699219,0,0.704692,0.18,299
0.510027,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.660718,0.480718,0.660718,0.587955,1,0.70105,0.18,300
0.541849,0.631031,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.437828,0.257828,0.437828,0.120479,1,0.415732,0.18,301
0.657887,0.886118,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.434192,0.434192,0.614192,0.342919,0,0.554787,0.18,302
0.404492,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.759227,0.579227,0.759227,0.437085,1,0.65567,0.18,303
0.38328,0.66112,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.808812,0.628812,0.808812,0.915342,1,0.770768,0.18,304
0.455738,0.686288,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.520037,0.340037,0.520037,0.095507,1,0.429505,0.18,305
0.588178,0.759086,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.530339,0.350339,0.530339,0.34547,1,0.537956,0.18,306
0.663001,0.351547,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.170851,0.170851,0.350851,0.213271,0,0.378124,0.18,307
0.619572,0.518412,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.50259,0.32259,0.50259,0.26015,1,0.44105,0.18,308
0.579766,0.601152,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.315368,0.315368,0.495368,0.318506,0,0.491623,0.18,309
0.502511,0.64198,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.687314,0.507314,0.687314,0.73054,1,0.688099,0.18,310
0.434941,0.701544,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.839154,0.659154,0.839154,0.881284,1,0.760739,0.18,311
0.598216,0.646239,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.681122,0.681122,0.861122,0.959143,0,0.759354,0.18,312
0.49323,0.558694,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.400286,0.220286,0.400286,0.22643,1,0.453748,0.18,313
0.351851,0.868273,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.548735,0.548735,0.728735,0.55618,0,0.683836,0.18,314
0.690129,0.667058,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.643246,0.463246,0.643246,0.32478,1,0.49272,0.18,315
0.472883,0.380469,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.462397,0.282397,0.462397,0.144681,1,0.382044,0.18,316
0.715654,0.396341,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.336101,0.156101,0.336101,0.158355,1,0.357175,0.18,317
0.599259,0.693532,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.330231,0.330231,0.510231,0.651723,0,0.654239,0.18,318
0.356036,0.296225,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.523945,0.343945,0.523945,0.28889,1,0.443488,0.18,319
0.599235,0.943646,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.545309,0.545309,0.725309,0.737388,0,0.734395,0.18,320
0.427453,0.811632,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.755422,0.575422,0.755422,0.732097,1,0.729438,0.18,321
0.466026,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.579794,0.399794,0.579794,0.52213,1,0.681401,0.18,322
0.270669,0.824679,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.827704,0.647704,0.827704,0.899521,1,0.802017,0.18,323
0.683014,0.653284,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.428698,0.428698,0.608698,0.304925,0,0.481761,0.18,324
0.409657,0.571803,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.216078,0.216078,0.396078,0.325024,0,0.513465,0.18,325
0.531487,0.712097,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.127792,0.127792,0.307792,0.07044,0,0.413088,0.18,326
0.467292,0.569128,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.629197,0.449197,0.629197,0.628065,1,0.636998,0.18,327
0.609542,0.786537,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.680218,0.500218,0.680218,0.830096,1,0.738141,0.18,328
0.306619,0.564287,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.497252,0.317252,0.497252,0.227558,1,0.483379,0.18,329
0.619559,0.963052,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.793939,0.613939,0.793939,0.948489,1,0.802547,0.18,330
0.648828,0.638953,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.490523,0.310523,0.490523,0.264951,1,0.465722,0.18,331
0.338994,0.33003,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.433428,0.253428,0.433428,0.166689,1,0.399793,0.18,332
0.429036,0.866857,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.59715,0.41715,0.59715,0.623853,1,0.699661,0.18,333
0.5879,0.895063,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.745599,0.565599,0.745599,0.806657,1,0.751158,0.18,334
0.410614,0.305453,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.358515,0.358515,0.538515,0.313378,0,0.44834,0.18,335
0.59412,0.561021,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.642009,0.462009,0.642009,0.677918,1,0.638463,0.18,336
0.542728,0.673675,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.870229,0.690229,0.870229,0.943366,1,0.764719,0.18,337
0.388954,0.676363,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.162897,0.162897,0.342897,0.174943,0,0.47259,0.18,338
0.761014,0.692844,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.126162,0.126162,0.306162,0.170923,0,0.419363,0.18,339
0.771351,0.696504,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.187286,0.187286,0.367286,0.24828,0,0.452877,0.18,340
0.632478,0.80845,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.11993,0.11993,0.29993,0.112397,0,0.43793,0.18,341
0.590846,0.557732,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.221983,0.041983,0.221983,0.02945,1,0.354449,0.18,342
0.532277,0.123617,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.217028,0.217028,0.397028,0.012461,0,0.271766,0.18,343
0.402545,0.156225,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.375906,0.195906,0.375906,0.14478,1,0.345174,0.18,344
0.722808,0.848396,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.40918,0.40918,0.58918,0.498264,0,0.605096,0.18,345
0.684802,0.482303,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.293922,0.293922,0.473922,0.266429,0,0.426233,0.18,346
0.400299,0.703443,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.613128,0.433128,0.613128,0.425011,1,0.588541,0.18,347
0.333028,0.853332,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.681377,0.501377,0.681377,0.474547,1,0.650756,0.18,348
0.806932,0.261688,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.141168,0.141168,0.321168,0.091712,0,0.292441,0.18,349
0.598308,0.511848,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.320905,0.140905,0.320905,0.442073,1,0.524333,0.18,350
0.630262,0.51774,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.201083,0.201083,0.381083,0.133288,0,0.384078,0.18,351
0.585417,0.576202,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.483394,0.303394,0.483394,0.210017,1,0.436682,0.18,352
0.593709,0.440772,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.406041,0.406041,0.586041,0.396123,0,0.488375,0.18,353
0.694385,0.900748,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.586726,0.406726,0.586726,0.220032,1,0.497525,0.18,354
0.304125,0.682702,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.870612,0.690612,0.870612,0.565393,1,0.656935,0.18,355
0.572584,0.660983,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.312218,0.132218,0.312218,0.127043,1,0.420678,0.18,356
0.542155,0.485166,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.390383,0.210383,0.390383,0.181029,1,0.410284,0.18,357
0.785702,0.807924,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.488623,0.308623,0.488623,0.189397,1,0.449331,0.18,358
0.60768,0.340915,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.336159,0.336159,0.516159,0.326251,0,0.432776,0.18,359
0.609354,0.465072,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.139008,0.139008,0.319008,0.003825,0,0.322969,0.18,360
0.466562,0.776976,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.555815,0.555815,0.735815,0.950652,0,0.790926,0.18,361
0.434205,0.78086,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.626965,0.626965,0.806965,0.633937,0,0.686399,0.18,362
0.363389,0.364402,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.481086,0.301086,0.481086,0.027961,1,0.345305,0.18,363
0.625814,0.666323,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.860008,0.680008,0.860008,0.971905,1,0.763801,0.18,364
0.490324,0.620299,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.56993,0.38993,0.56993,0.782006,1,0.705096,0.18,365
0.074704,0.66024,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.843461,0.663461,0.843461,0.896186,1,0.79617,0.18,366
0.09619,0.830624,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.852318,0.672318,0.852318,0.828828,1,0.79927,0.18,367
0.210031,0.550122,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.192476,0.192476,0.372476,0.062269,0,0.420962,0.18,368
0.380565,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.779488,0.599488,0.779488,0.7122,1,0.760172,0.18,369
0.267004,0.671655,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.597316,0.417316,0.597316,0.354806,1,0.570267,0.18,370
0.53173,0.753411,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.412048,0.412048,0.592048,0.632118,0,0.667488,0.18,371
0.622708,0.925133,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.431456,0.431456,0.611456,0.745951,0,0.731394,0.18,372
0.27767,0.91097,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.917777,0.737777,0.917777,0.947466,1,0.826168,0.18,373
0.400773,0.35897,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.459987,0.279987,0.459987,0.283442,1,0.448386,0.18,374
0.761546,0.670398,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.378555,0.198555,0.378555,0.298831,1,0.471114,0.18,375
